20090101,26
20090102,34
20090103,27
20090104,34
20090105,34
20090106,31
20090107,35
20090108,30
20090109,25
20090110,22
20090111,23
20090112,26
20090113,33
20090114,11
20090115,13
20090116,9
20090117,15
20090118,28
20090119,19
20090120,18
20090121,21
20090122,27
20090123,42
20090124,29
20090125,17
20090126,18
20090127,21
20090128,27
20090129,25
20090130,26
20090131,24
20090201,38
20090202,32
20090203,28
20090204,19
20090205,12
20090206,25
20090207,49
20090208,44
20090209,40
20090210,54
20090211,53
20090212,51
20090213,33
20090214,27
20090215,28
20090216,30
20090217,32
20090218,36
20090219,34
20090220,25
20090221,36
20090222,33
20090223,22
20090224,23
20090225,44
20090226,48
20090227,53
20090228,21
20090301,21
20090302,53
20090303,20
20090304,27
20090305,52
20090306,58
20090307,45
20090308,45
20090309,47
20090310,46
20090311,55
20090312,27
20090313,35
20090314,43
20090315,54
20090316,59
20090317,54
20090318,57
20090319,45
20090320,36
20090321,43
20090322,43
20090323,35
20090324,47
20090325,61
20090326,54
20090327,58
20090328,60
20090329,56
20090330,37
20090331,55
20090401,54
20090402,66
20090403,61
20090404,41
20090405,51
20090406,45
20090407,31
20090408,41
20090409,49
20090410,54
20090411,46
20090412,42
20090413,51
20090414,57
20090415,59
20090416,60
20090417,56
20090418,58
20090419,57
20090420,52
20090421,56
20090422,44
20090423,45
20090424,79
20090425,80
20090426,77
20090427,80
20090428,66
20090429,62
20090430,69
20090501,65
20090502,57
20090503,64
20090504,63
20090505,70
20090506,69
20090507,63
20090508,68
20090509,70
20090510,48
20090511,59
20090512,60
20090513,73
20090514,66
20090515,70
20090516,74
20090517,56
20090518,56
20090519,68
20090520,76
20090521,78
20090522,73
20090523,78
20090524,74
20090525,70
20090526,72
20090527,79
20090528,79
20090529,65
20090530,64
20090531,58
20090601,68
20090602,68
20090603,67
20090604,69
20090605,75
20090606,71
20090607,72
20090608,66
20090609,69
20090610,73
20090611,72
20090612,71
20090613,69
20090614,75
20090615,76
20090616,81
20090617,70
20090618,62
20090619,75
20090620,67
20090621,73
20090622,79
20090623,81
20090624,82
20090625,85
20090626,80
20090627,79
20090628,71
20090629,77
20090630,69
20090701,73
20090702,69
20090703,71
20090704,69
20090705,74
20090706,74
20090707,67
20090708,71
20090709,78
20090710,83
20090711,77
20090712,70
20090713,71
20090714,73
20090715,79
20090716,76
20090717,70
20090718,70
20090719,70
20090720,77
20090721,72
20090722,79
20090723,78
20090724,73
20090725,79
20090726,77
20090727,74
20090728,82
20090729,77
20090730,78
20090731,78
20090801,81
20090802,75
20090803,77
20090804,82
20090805,74
20090806,75
20090807,74
20090808,75
20090809,81
20090810,84
20090811,83
20090812,81
20090813,84
20090814,86
20090815,87
20090816,86
20090817,88
20090818,82
20090819,80
20090820,87
20090821,81
20090822,82
20090823,73
20090824,72
20090825,76
20090826,73
20090827,71
20090828,67
20090829,71
20090830,64
20090831,69
20090901,72
20090902,76
20090903,79
20090904,77
20090905,77
20090906,76
20090907,74
20090908,78
20090909,77
20090910,77
20090911,67
20090912,73
20090913,75
20090914,73
20090915,74
20090916,64
20090917,70
20090918,69
20090919,66
20090920,77
20090921,78
20090922,76
20090923,76
20090924,73
20090925,63
20090926,65
20090927,67
20090928,63
20090929,63
20090930,50
20091001,52
20091002,56
20091003,66
20091004,54
20091005,58
20091006,63
20091007,61
20091008,60
20091009,56
20091010,55
20091011,50
20091012,48
20091013,51
20091014,45
20091015,41
20091016,43
20091017,45
20091018,50
20091019,54
20091020,56
20091021,60
20091022,61
20091023,59
20091024,61
20091025,54
20091026,64
20091027,61
20091028,53
20091029,53
20091030,67
20091101,50
20091102,53
20091103,51
20091104,43
20091105,43
20091106,40
20091107,63
20091108,68
20091109,64
20091110,55
20091111,50
20091112,51
20091113,57
20091114,64
20091115,56
20091116,44
20091117,48
20091118,61
20091119,54
20091120,49
20091121,47
20091122,52
20091123,54
20091124,50
20091125,54
20091126,51
20091127,40
20091128,40
20091129,51
20091130,44
20091131,41
20091201,43
20091202,50
20091203,52
20091204,37
20091205,33
20091206,36
20091207,33
20091208,34
20091209,47
20091210,33
20091211,21
20091212,34
20091213,39
20091214,41
20091215,42
20091216,26
20091217,22
20091218,27
20091219,26
20091220,31
20091221,30
20091222,26
20091223,24
20091224,29
20091225,44
20091226,44
20091227,33
20091228,29
20091229,20
20091230,30
20091231,35
